Response variants,Addresser,Sex_addresser,Race_addresser,Relationship,Addressee,Sex_addressee,Race_addressee,Situational Context,Location,Response type
Kay,Jonathan,M,Chinese,good friend,Vincent,M,Chinese,,in apartment,Affirmation
Yeah,Vincent,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Yeah,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
Yeah,Ethan,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Yeah,Ethan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
Yeah,Ling150 student,F,Caucasian,fellow student,Me,M,Chinese,,in apartment,Affirmation
Yeah,Charis,F,Chinese,friend,Me,M,Chinese,,in apartment,Affirmation
Yeah,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in apartment,Affirmation
Yeah,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in apartment,Affirmation
Yeah,Sarah,F,Chinese,teaching,Me,M,Chinese,,in apartment,Affirmation
Yeah,Student,F,n/a,teaching,male TA,M,n/a,,in class,Affirmation
Yeah,Maryo,M,Egyptian,good friend,Vincent,M,Chinese,,in apartment,Affirmation
Yeah,Joseph Park,M,Korean,good friend,Me,M,Chinese,,in class,Affirmation
Yeah,Charis,F,Chinese,fellow student,Me,M,Chinese,,in class,Affirmation
Yeah,Joyce,F,Chinese,good friend,Tim Cruz,M,Filipino,,in class,Affirmation
"Yeah, yeah, yeah",Charis,F,Chinese,good friend,Tim Cruz,M,Filipino,,in class,Affirmation
"Yeah, yeah, yeah",Joyce,F,Chinese,good friend,Charis,F,Chinese,,in class,Affirmation
"Yeah, yeah, yeah",Tim Cruz,M,Filipino,good friend,Charis,F,Chinese,,in class,Affirmation
"Yeah, yeah, yeah",Joyce,F,Chinese,good friend,Charis,F,Chinese,,in class,Affirmation
Sure,Vincent,M,Chinese,good friend,Jonathan,M,Chinese,repeat after Jonathan,in apartment,Affirmation
Sure,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
Sure,Jonathan,M,Chinese,good friend,Vincent,M,Chinese,,in apartment,Affirmation
Sure,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
Sure,Charis,F,Chinese,good friend,Joyce,F,Chinese,,in class,Affirmation
Uh-huh,Charis,F,Chinese,good friend,Joyce,F,Chinese,,in class,Affirmation
Okay,Vincent,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Okay,Jonathan,M,Chinese,good friend,Vincent,M,Chinese,repeat after Vincent,in apartment,Affirmation
Aight,Vincent,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Yes,Vincent,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
Yes,Ethan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
That's cool ,Vincent,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Mm-hmm,Vincent,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Mm-hmm,Me,M,Chinese,good friend,Jonathan,M,Chinese,,in apartment,Affirmation
Mm-hmm,Student,F,Indian,teaching,male TA,M,Indian,,Data 8 lab,Affirmation
Mm-hmm,Student,F,Indian,teaching,male TA,M,Indian,,Data 8 lab,Affirmation
Mm-hmm,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
Sure,Me ,M,Chinese,fellow student,Ling150 student,F,Caucasian,,in class,Affirmation
"eh, it's okay",Joseph Park,M,Korean,good friend,Me,M,Chinese,,in class,Affirmation
Yes,Joseph Park,M,Korean,good friend,Me,M,Chinese,,in class,Affirmation
"Nice, okay",TA,M,Indian,teaching,female student,F,Indian,,in class,Affirmation
"Yeah, okay",TA,M,Indian,teaching,female student,F,Indian,,in class,Affirmation
"Oh, okay",Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Affirmation
Guess so,Jonathan,M,Chinese,good friend,Me,M,Chinese,Will this event be next Sunday?,in apartment,Affirmation
Yeah,TA,M,Indian,fellow student,TA,M,Chinese,,in class,Affirmation
Yeah,student,M,Chinese,teaching,TA,M,Indian,,in class,Affirmation
Yeah,student,F,Indian,teaching,TA,M,Chinese,,in class,Affirmation
Yeah,student,F,Indian,teaching,TA,M,Chinese,,in class,Affirmation
mm-hmm,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Affirmation
Yeah,TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
"yeah, yeah, yeah",TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
nice,TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
nice,TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
Yeah,TA,M,Indian,teaching,TA,M,Chinese,,in class,Affirmation
"Yeah, man",TA,M,Indian,teaching,student ,M,Chinese,Can I get help?,in class,Affirmation
mm-hmm,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Affirmation
Of course,TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
yeah,student,M,n/a,fellow student,student ,F,n/a,,in class,Affirmation
Yeah,TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
"Yeah, I know",TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
hopefully,TA,M,Indian,teaching,student ,M,Chinese,,in class,Affirmation
alright,student,M ,Chinese,teaching ,TA,M,Indian,,in class,Affirmation
alright,student,M ,Chinese,teaching ,TA,M,Indian,,in class,Affirmation
yes,student,M,Chinese,teaching ,TA,M,Indian,,in class,Affirmation
yeah,student,F,Chinese,teaching ,TA,M,Indian,,in class,Affirmation
yeah,student,M,Chinese,teaching ,TA,M,Indian,,in class,Affirmation
yeah,student,F,Chinese,fellow student,student ,M,Chinese,,in class,Affirmation
okay,TA,M,Indian,teaching,student ,F,Chinese,,in class,Affirmation
yeah,TA,M,Indian,teaching,student ,F,Chinese,,in class,Affirmation
mm-hmm,student,F,Chinese,teaching,TA,M,Indian,,in class,Affirmation
yeah,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Affirmation
oh yeah,student,M,n/a,fellow student,student,F,Chinese,,in class,Affirmation
"yeah, yeah, yeah",student,M,n/a,fellow student,student,F,Chinese,,in class,Affirmation
exactly,student,M,n/a,fellow student,student,F,Chinese,,in class,Affirmation
"yeah, exactly",student,M,n/a,fellow student,student,F,Chinese,,in class,Affirmation
"oh, yeah?",student,F,Chinese,fellow student,student,M,Chinese,,in class,Affirmation
"okay, great",student,F,Chinese,fellow student,student,M,Chinese,,in class,Affirmation
yeah,Tim Newman,M,Caucasian,good friend,Me,M,Chinese,,in class,Affirmation
sounds good,student,F,Chinese,fellow student,student,M,Chinese,sounds good?,in class,Affirmation
"but yeah, sure",student,F,Chinese,fellow student,student,M,Chinese,,in class,Affirmation
yeah,Sarah (TA),F,Chinese,teaching,Me,M,Chinese,,in class,Affirmation
yes,Sarah (TA),F,Chinese,teaching,Me,M,Chinese,,in class,Affirmation
yeah,Inez,F,Korean,friend,Me,M,Chinese,,in apartment,Affirmation
"yeah, okay",Inez,F,Korean,friend,Me,M,Chinese,,in apartment,Affirmation
think so,Ethan,M,Chinese,good friend,Me,M,Chinese,is he coming?,in apartment,Affirmation
yeah ,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
yeah ,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
yeah ,Jonathan,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
mm-hmm,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
okay,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
yeah,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
yeah,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
right,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
right,Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
"heck, yeah",Gwen,F,Asian Mixed,good friend,Me,M,Chinese,,phone call,Affirmation
yeah,Jenny Kim,F,Korean,friend,Me,M,Chinese,,in apartment,Affirmation
yeah,Jenny Kim,F,Korean,friend,Me,M,Chinese,,in apartment,Affirmation
no,Jenny Kim,F,Korean,friend,Me,M,Chinese,,in apartment,Declination
yeah ,Vincent,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
yeah ,Vincent,M,Chinese,good friend,Me,M,Chinese,,in apartment,Affirmation
yeah,Hispanic woman,F,Hispanic,strangers ,black woman,F,Black,sitting in street chairs,in street,Affirmation
"right, right",Hispanic woman,F,Hispanic,strangers ,black woman,F,Black,,in street,Affirmation
Yeah,college student,F,Caucasian,friend,college student,F,Caucasian,,in street,Affirmation
Yeah,wife,F,Caucasian,acquaintance,college student,F,Asian,wife gives confirming answer as husband talks to female student,in street,Affirmation
Yep,wife,F,Caucasian,acquaintance,college student,F,Asian,This student is touring a couple on campus,in street,Affirmation
oh yeah,woman,F,,friend,man,M,,,in street,Affirmation
No,college student,F,Caucasian,friend,college student,M,Caucasian,,outside MLK,Declination
alright,college student,M,Caucasian,friend,college student,F,Caucasian,,outside MLK,Affirmation
